Cdufmun;Município;DATA;Número de registros;População;UF;Índice de isolamento
3530706;Mogi Guaçu;05/03/2020;1;151888;SP;40%
3530706;Mogi Guaçu;06/03/2020;1;151888;SP;38%
3530706;Mogi Guaçu;12/03/2020;1;151888;SP;35%
3530706;Mogi Guaçu;13/03/2020;1;151888;SP;37%
3530706;Mogi Guaçu;17/03/2020;1;151888;SP;43%
3530706;Mogi Guaçu;18/03/2020;1;151888;SP;42%
3530706;Mogi Guaçu;19/03/2020;1;151888;SP;44%
3530706;Mogi Guaçu;20/03/2020;1;151888;SP;46%
3530706;Mogi Guaçu;21/03/2020;1;151888;SP;58%
3530706;Mogi Guaçu;22/03/2020;1;151888;SP;57%
3530706;Mogi Guaçu;23/03/2020;1;151888;SP;53%
3530706;Mogi Guaçu;24/03/2020;1;151888;SP;55%
3530706;Mogi Guaçu;25/03/2020;1;151888;SP;55%
3530706;Mogi Guaçu;26/03/2020;1;151888;SP;54%
3530706;Mogi Guaçu;27/03/2020;1;151888;SP;54%
3530706;Mogi Guaçu;28/03/2020;1;151888;SP;57%
3530706;Mogi Guaçu;29/03/2020;1;151888;SP;59%
3530706;Mogi Guaçu;30/03/2020;1;151888;SP;57%
3530706;Mogi Guaçu;31/03/2020;1;151888;SP;56%
3530706;Mogi Guaçu;01/04/2020;1;151888;SP;55%
3530706;Mogi Guaçu;02/04/2020;1;151888;SP;55%
3530706;Mogi Guaçu;03/04/2020;1;151888;SP;55%
3530706;Mogi Guaçu;04/04/2020;1;151888;SP;58%
3530706;Mogi Guaçu;05/04/2020;1;151888;SP;58%
3530706;Mogi Guaçu;06/04/2020;1;151888;SP;53%
3530706;Mogi Guaçu;07/04/2020;1;151888;SP;51%
3530706;Mogi Guaçu;08/04/2020;1;151888;SP;48%
3530706;Mogi Guaçu;09/04/2020;1;151888;SP;50%
3530706;Mogi Guaçu;10/04/2020;1;151888;SP;61%
3530706;Mogi Guaçu;11/04/2020;1;151888;SP;54%
3530706;Mogi Guaçu;12/04/2020;1;151888;SP;57%
3530706;Mogi Guaçu;13/04/2020;1;151888;SP;49%
3530706;Mogi Guaçu;14/04/2020;1;151888;SP;50%
3530706;Mogi Guaçu;15/04/2020;1;151888;SP;50%
3530706;Mogi Guaçu;16/04/2020;1;151888;SP;49%
3530706;Mogi Guaçu;17/04/2020;1;151888;SP;48%
3530706;Mogi Guaçu;18/04/2020;1;151888;SP;53%
3530706;Mogi Guaçu;19/04/2020;1;151888;SP;58%
3530706;Mogi Guaçu;20/04/2020;1;151888;SP;49%
3530706;Mogi Guaçu;21/04/2020;1;151888;SP;57%
3530706;Mogi Guaçu;22/04/2020;1;151888;SP;47%
3530706;Mogi Guaçu;23/04/2020;1;151888;SP;46%
3530706;Mogi Guaçu;24/04/2020;1;151888;SP;47%
3530706;Mogi Guaçu;25/04/2020;1;151888;SP;52%
3530706;Mogi Guaçu;26/04/2020;1;151888;SP;57%
3530706;Mogi Guaçu;27/04/2020;1;151888;SP;47%
3530706;Mogi Guaçu;28/04/2020;1;151888;SP;46%
3530706;Mogi Guaçu;29/04/2020;1;151888;SP;47%
3530706;Mogi Guaçu;30/04/2020;1;151888;SP;46%
