,Cdufmun,Município,DATA,Número de registros,População,UF,Índice de isolamento
0,3530706,Mogi Guaçu,05/03/2020,1,151888,SP,40%
1,3530706,Mogi Guaçu,06/03/2020,1,151888,SP,38%
2,3530706,Mogi Guaçu,12/03/2020,1,151888,SP,35%
3,3530706,Mogi Guaçu,13/03/2020,1,151888,SP,37%
4,3530706,Mogi Guaçu,17/03/2020,1,151888,SP,43%
5,3530706,Mogi Guaçu,18/03/2020,1,151888,SP,42%
6,3530706,Mogi Guaçu,19/03/2020,1,151888,SP,44%
7,3530706,Mogi Guaçu,20/03/2020,1,151888,SP,46%
8,3530706,Mogi Guaçu,21/03/2020,1,151888,SP,58%
9,3530706,Mogi Guaçu,22/03/2020,1,151888,SP,57%
10,3530706,Mogi Guaçu,23/03/2020,1,151888,SP,53%
11,3530706,Mogi Guaçu,24/03/2020,1,151888,SP,55%
12,3530706,Mogi Guaçu,25/03/2020,1,151888,SP,55%
13,3530706,Mogi Guaçu,26/03/2020,1,151888,SP,54%
14,3530706,Mogi Guaçu,27/03/2020,1,151888,SP,54%
15,3530706,Mogi Guaçu,28/03/2020,1,151888,SP,57%
16,3530706,Mogi Guaçu,29/03/2020,1,151888,SP,59%
17,3530706,Mogi Guaçu,30/03/2020,1,151888,SP,57%
18,3530706,Mogi Guaçu,31/03/2020,1,151888,SP,56%
19,3530706,Mogi Guaçu,01/04/2020,1,151888,SP,55%
20,3530706,Mogi Guaçu,02/04/2020,1,151888,SP,55%
21,3530706,Mogi Guaçu,03/04/2020,1,151888,SP,55%
22,3530706,Mogi Guaçu,04/04/2020,1,151888,SP,58%
23,3530706,Mogi Guaçu,05/04/2020,1,151888,SP,58%
24,3530706,Mogi Guaçu,06/04/2020,1,151888,SP,53%
25,3530706,Mogi Guaçu,07/04/2020,1,151888,SP,51%
26,3530706,Mogi Guaçu,08/04/2020,1,151888,SP,48%
27,3530706,Mogi Guaçu,09/04/2020,1,151888,SP,50%
28,3530706,Mogi Guaçu,10/04/2020,1,151888,SP,61%
29,3530706,Mogi Guaçu,11/04/2020,1,151888,SP,54%
30,3530706,Mogi Guaçu,12/04/2020,1,151888,SP,57%
31,3530706,Mogi Guaçu,13/04/2020,1,151888,SP,49%
32,3530706,Mogi Guaçu,14/04/2020,1,151888,SP,50%
33,3530706,Mogi Guaçu,15/04/2020,1,151888,SP,50%
34,3530706,Mogi Guaçu,16/04/2020,1,151888,SP,49%
35,3530706,Mogi Guaçu,17/04/2020,1,151888,SP,48%
36,3530706,Mogi Guaçu,18/04/2020,1,151888,SP,53%
37,3530706,Mogi Guaçu,19/04/2020,1,151888,SP,58%
38,3530706,Mogi Guaçu,20/04/2020,1,151888,SP,49%
39,3530706,Mogi Guaçu,21/04/2020,1,151888,SP,57%
40,3530706,Mogi Guaçu,22/04/2020,1,151888,SP,47%
41,3530706,Mogi Guaçu,23/04/2020,1,151888,SP,46%
42,3530706,Mogi Guaçu,24/04/2020,1,151888,SP,47%
43,3530706,Mogi Guaçu,25/04/2020,1,151888,SP,52%
44,3530706,Mogi Guaçu,26/04/2020,1,151888,SP,57%
45,3530706,Mogi Guaçu,27/04/2020,1,151888,SP,47%
46,3530706,Mogi Guaçu,28/04/2020,1,151888,SP,46%
47,3530706,Mogi Guaçu,29/04/2020,1,151888,SP,47%
48,3530706,Mogi Guaçu,30/04/2020,1,151888,SP,46%
